,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
5382,2600,1983,Action,Activision,0.32,0.02,0.0,0.0,0.34
1508,2600,1983,Platform,Activision,1.22,0.07,0.0,0.02,1.31
1861,NES,1983,Platform,Nintendo,0.51,0.12,0.45,0.02,1.1
6007,2600,1983,Action,Activision,0.27,0.02,0.0,0.0,0.29
3953,2600,1983,Action,Atari,0.47,0.03,0.0,0.01,0.5
5559,2600,1983,Action,Parker Bros.,0.31,0.02,0.0,0.0,0.33
763,NES,1983,Misc,Nintendo,0.01,0.0,2.13,0.0,2.14
4267,2600,1983,Action,Atari,0.43,0.03,0.0,0.0,0.46
9,NES,1984,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31
6296,2600,1984,Racing,Activision,0.26,0.01,0.0,0.0,0.27
1324,NES,1984,Misc,Nintendo,0.0,0.0,1.45,0.0,1.45
1857,NES,1984,Puzzle,Hudson Soft,0.0,0.0,1.1,0.0,1.1
1638,NES,1984,Puzzle,Namco Bandai Games,0.27,0.08,0.85,0.02,1.22
1234,NES,1984,Shooter,Namco Bandai Games,0.18,0.06,1.27,0.01,1.52
754,NES,1984,Sports,Nintendo,0.48,0.11,1.56,0.02,2.17
1233,NES,1984,Racing,Nintendo,0.0,0.0,1.52,0.0,1.52
938,NES,1984,Action,Nintendo,0.8,0.19,0.83,0.03,1.85
1560,NES,1984,Shooter,Nintendo,0.68,0.16,0.41,0.02,1.27
2513,NES,1984,Puzzle,Nintendo,0.42,0.1,0.28,0.02,0.82
298,NES,1984,Sports,Nintendo,1.22,0.28,2.46,0.04,4.01
2955,NES,1984,Platform,Namco Bandai Games,0.0,0.0,0.69,0.0,0.69
277,NES,1984,Racing,Nintendo,2.04,0.48,1.57,0.07,4.16
2059,NES,1985,Shooter,Capcom,0.65,0.14,0.21,0.0,1.0
1260,NES,1985,Platform,Nintendo,0.46,0.1,0.92,0.02,1.5
14335,PC,1985,Simulation,Activision,0.0,0.03,0.0,0.01,0.03
2020,NES,1985,Puzzle,Hudson Soft,0.18,0.0,0.85,0.0,1.03
3907,NES,1985,Platform,Nintendo,0.0,0.0,0.51,0.0,0.51
1,NES,1985,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24
374,NES,1985,Action,Nintendo,1.64,0.38,1.42,0.06,3.5
1973,NES,1985,Fighting,Namco Bandai Games,0.0,0.0,1.05,0.0,1.05
2259,NES,1985,Platform,Nintendo,0.39,0.09,0.43,0.01,0.92
4727,NES,1985,Puzzle,Namco Bandai Games,0.0,0.0,0.41,0.0,0.41
15867,DS,1985,Action,Mycom,0.0,0.0,0.02,0.0,0.02
4337,2600,1985,Puzzle,Activision,0.42,0.03,0.0,0.0,0.45
1490,NES,1985,Puzzle,Nintendo,0.73,0.16,0.4,0.03,1.32
868,NES,1985,Sports,Nintendo,0.18,0.23,1.53,0.02,1.96
1427,NES,1986,Shooter,Konami Digital Entertainment,0.27,0.08,1.0,0.01,1.36
1117,NES,1986,Action,Capcom,0.74,0.26,0.61,0.03,1.64
611,NES,1986,Role-Playing,Capcom,0.49,0.0,0.52,1.51,2.52
1676,NES,1986,Platform,Konami Digital Entertainment,0.0,0.0,1.2,0.0,1.2
1675,NES,1986,Shooter,Konami Digital Entertainment,0.0,0.0,1.2,0.0,1.2
2158,NES,1986,Shooter,Hudson Soft,0.32,0.06,0.57,0.01,0.96
452,NES,1986,Sports,Namco Bandai Games,1.92,0.45,0.64,0.07,3.08
3532,NES,1986,Action,Nintendo,0.0,0.0,0.57,0.0,0.57
737,NES,1986,Sports,Namco Bandai Games,0.15,0.0,2.05,0.0,2.2
1971,NES,1986,Platform,Hudson Soft,0.0,0.0,1.05,0.0,1.05
992,NES,1986,Platform,Nintendo,0.53,0.12,1.09,0.02,1.76
867,NES,1986,Racing,Nintendo,1.13,0.37,0.41,0.05,1.96
1772,NES,1986,Action,Hudson Soft,0.0,0.0,1.15,0.0,1.15
1623,NES,1986,Platform,Konami Digital Entertainment,0.54,0.06,0.62,0.01,1.23
1791,NES,1986,Action,Capcom,0.71,0.16,0.25,0.03,1.14
5956,2600,1986,Sports,Atari,0.28,0.02,0.0,0.0,0.29
548,NES,1986,Action,Nintendo,1.33,0.31,1.04,0.05,2.73
1262,NES,1986,Platform,Hudson Soft,0.0,0.0,1.5,0.0,1.5
573,NES,1986,Platform,Nintendo,0.0,0.0,2.65,0.0,2.65
127,NES,1986,Action,Nintendo,3.74,0.93,1.69,0.14,6.51
5082,2600,1986,Shooter,Atari,0.35,0.02,0.0,0.0,0.37
2547,NES,1987,Platform,Capcom,0.45,0.08,0.27,0.01,0.81
11716,2600,1987,Sports,Atari,0.07,0.0,0.0,0.0,0.08
3118,2600,1987,Action,Activision,0.6,0.04,0.0,0.01,0.65
465,NES,1987,Fighting,Nintendo,2.03,0.47,0.45,0.07,3.02
2234,NES,1987,Platform,Konami Digital Entertainment,0.45,0.06,0.42,0.0,0.93
1588,NES,1987,Role-Playing,Namco Bandai Games,0.0,0.0,1.25,0.0,1.25
11749,2600,1987,Sports,Atari,0.07,0.0,0.0,0.0,0.07
251,NES,1987,Adventure,Nintendo,2.19,0.5,1.61,0.08,4.38
6583,2600,1987,Shooter,Atari,0.24,0.01,0.0,0.0,0.26
1361,NES,1987,Sports,Namco Bandai Games,0.12,0.0,1.3,0.0,1.42
2466,NES,1987,Role-Playing,SquareSoft,0.32,0.0,0.52,0.0,0.84
647,NES,1987,Fighting,Nintendo,0.77,0.18,1.42,0.03,2.4
4194,2600,1987,Action,Activision,0.44,0.02,0.0,0.0,0.47
602,NES,1987,Role-Playing,Enix Corporation,0.15,0.0,2.41,0.0,2.56
4393,2600,1987,Shooter,Atari,0.42,0.02,0.0,0.0,0.45
759,NES,1987,Sports,Nintendo,0.14,0.03,1.98,0.0,2.15
1246,NES,1988,Action,Capcom,0.93,0.15,0.42,0.01,1.51
1187,NES,1988,Platform,Nintendo,0.59,0.14,0.81,0.02,1.56
14507,PC,1988,Simulation,Maxis,0.0,0.02,0.0,0.01,0.03
22,NES,1988,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28
2704,NES,1988,Role-Playing,SquareSoft,0.0,0.0,0.76,0.0,0.76
638,NES,1988,Sports,Nintendo,1.27,0.32,0.78,0.05,2.42
6939,2600,1988,Action,Activision,0.22,0.01,0.0,0.0,0.24
155,NES,1988,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58
312,NES,1988,Role-Playing,Enix Corporation,0.1,0.0,3.77,0.0,3.87
1708,NES,1988,Sports,Namco Bandai Games,0.1,0.0,1.08,0.0,1.18
96,NES,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46
1350,GB,1988,Platform,Capcom,0.82,0.23,0.35,0.03,1.43
3940,2600,1988,Shooter,Activision,0.47,0.03,0.0,0.01,0.51
764,NES,1988,Racing,Nintendo,1.47,0.38,0.19,0.1,2.14
1587,NES,1988,Role-Playing,Namco Bandai Games,0.0,0.0,1.25,0.0,1.25
12636,NES,1989,Puzzle,HAL Laboratory,0.06,0.0,0.0,0.0,0.06
5,GB,1989,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26
1542,GB,1989,Misc,Nintendo,0.0,0.0,1.28,0.0,1.28
1858,GB,1989,Role-Playing,SquareSoft,0.0,0.0,1.1,0.0,1.1
170,GB,1989,Puzzle,Nintendo,2.18,0.96,2.0,0.2,5.34
775,GB,1989,Sports,Nintendo,0.83,0.33,0.92,0.04,2.12
1859,NES,1989,Role-Playing,Namco Bandai Games,0.0,0.0,1.1,0.0,1.1
21,GB,1989,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14
1089,NES,1989,Platform,Capcom,0.91,0.3,0.42,0.04,1.67
852,GB,1989,Sports,Nintendo,0.75,0.3,0.9,0.04,1.99
1142,GB,1989,Sports,Nintendo,0.66,0.27,0.65,0.03,1.61
2439,NES,1989,Platform,Konami Digital Entertainment,0.4,0.07,0.37,0.01,0.85
1678,GB,1989,Shooter,Nintendo,0.4,0.39,0.36,0.04,1.2
276,NES,1989,Action,Palcom,3.38,0.44,0.31,0.04,4.17
4147,2600,1989,Action,Activision,0.45,0.02,0.0,0.01,0.47
8757,2600,1989,Puzzle,Atari,0.14,0.01,0.0,0.0,0.15
880,GB,1989,Puzzle,Nintendo,0.96,0.38,0.55,0.05,1.94
1770,GB,1990,Puzzle,Nintendo,0.51,0.2,0.41,0.03,1.15
1792,SNES,1990,Simulation,Nintendo,0.46,0.17,0.48,0.02,1.14
391,GB,1990,Racing,Nintendo,1.73,0.69,0.59,0.4,3.41
1190,SNES,1990,Action,Capcom,0.67,0.17,0.69,0.03,1.56
1278,NES,1990,Sports,Nintendo,0.28,0.5,0.65,0.05,1.48
1726,NES,1990,Platform,Capcom,0.68,0.1,0.39,0.0,1.17
722,NES,1990,Action,Konami Digital Entertainment,1.74,0.25,0.21,0.03,2.23
215,NES,1990,Puzzle,Nintendo,2.62,0.6,1.52,0.1,4.85
446,NES,1990,Role-Playing,Enix Corporation,0.08,0.0,3.03,0.01,3.12
1385,NES,1990,Role-Playing,SquareSoft,0.0,0.0,1.39,0.01,1.4
1695,NES,1990,Platform,Capcom,0.68,0.14,0.35,0.02,1.19
588,GEN,1990,Action,Sega,1.86,0.55,0.11,0.08,2.6
509,SNES,1990,Racing,Nintendo,1.37,0.51,0.89,0.07,2.85
18,SNES,1990,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61
5493,GB,1990,Sports,Namco Bandai Games,0.0,0.0,0.33,0.0,0.33
5862,NES,1990,Sports,Namco Bandai Games,0.0,0.0,0.3,0.0,0.3
3204,SNES,1991,Platform,Konami Digital Entertainment,0.32,0.05,0.25,0.01,0.63
8085,SNES,1991,Strategy,Banpresto,0.0,0.0,0.18,0.0,0.18
6165,SNES,1991,Action,Tecmo Koei,0.0,0.0,0.28,0.0,0.28
1108,SNES,1991,Shooter,Nintendo,1.06,0.38,0.15,0.05,1.65
11330,SNES,1991,Misc,Epoch,0.0,0.0,0.08,0.0,0.08
6164,GB,1991,Platform,Nintendo,0.0,0.0,0.28,0.0,0.28
6053,SNES,1991,Role-Playing,Angel Studios,0.0,0.0,0.29,0.0,0.29
6161,NES,1991,Sports,Namco Bandai Games,0.0,0.0,0.28,0.0,0.28
8575,SNES,1991,Simulation,Imagineer,0.0,0.0,0.16,0.0,0.16
254,GEN,1991,Platform,Sega,3.03,0.91,0.26,0.13,4.34
2061,NES,1991,Sports,Nintendo,0.41,0.1,0.47,0.02,1.0
11331,X360,1991,Sports,Black Bean Games,0.0,0.07,0.0,0.01,0.08
6623,SNES,1991,Strategy,Tecmo Koei,0.0,0.0,0.25,0.0,0.25
2727,GB,1991,Role-Playing,SquareSoft,0.0,0.0,0.76,0.0,0.76
8086,X360,1991,Sports,Unknown,0.17,0.0,0.0,0.01,0.18
983,SNES,1991,Role-Playing,Square,0.24,0.09,1.33,0.12,1.77
11980,SNES,1991,Sports,Imagineer,0.0,0.0,0.07,0.0,0.07
7688,SNES,1991,Sports,Culture Brain,0.0,0.0,0.2,0.0,0.2
5517,SNES,1991,Sports,Banpresto,0.0,0.0,0.33,0.0,0.33
5541,SNES,1991,Strategy,Namco Bandai Games,0.0,0.0,0.33,0.0,0.33
7094,SNES,1991,Shooter,Nintendo,0.0,0.0,0.23,0.0,0.23
1794,GB,1991,Racing,Nintendo,0.58,0.37,0.15,0.04,1.14
5651,NES,1991,Puzzle,BPS,0.0,0.0,0.32,0.0,0.32
1394,NES,1991,Action,Konami Digital Entertainment,1.05,0.17,0.15,0.02,1.39
8037,GB,1991,Strategy,Nintendo,0.0,0.0,0.18,0.0,0.18
5033,GB,1991,Role-Playing,SquareSoft,0.0,0.0,0.38,0.0,0.38
1716,SNES,1991,Platform,Capcom,0.5,0.14,0.52,0.02,1.18
6155,GB,1991,Platform,Nintendo,0.0,0.0,0.28,0.0,0.28
8834,SNES,1991,Sports,Imagineer,0.0,0.0,0.15,0.0,0.15
9958,SNES,1991,Shooter,Capcom,0.0,0.0,0.12,0.0,0.12
231,SNES,1991,Action,Nintendo,2.42,0.91,1.15,0.13,4.61
13018,SNES,1991,Role-Playing,Kemco,0.0,0.0,0.05,0.0,0.05
855,SNES,1991,Simulation,Nintendo,0.93,0.27,0.75,0.04,1.98
2233,NES,1991,Platform,Capcom,0.51,0.09,0.32,0.01,0.93
4583,SNES,1991,Action,Namco Bandai Games,0.0,0.0,0.42,0.0,0.42
987,GB,1991,Adventure,Nintendo,0.85,0.31,0.56,0.04,1.76
12670,GB,1991,Action,Konami Digital Entertainment,0.0,0.0,0.06,0.0,0.06
4451,NES,1991,Puzzle,Hudson Soft,0.16,0.03,0.15,0.1,0.44
2798,GB,1991,Puzzle,Nintendo,0.0,0.0,0.73,0.0,0.73
4981,SNES,1991,Sports,Nintendo,0.0,0.0,0.38,0.0,0.38
1008,NES,1991,Puzzle,Nintendo,0.7,0.13,0.91,0.01,1.75
4097,SNES,1991,Adventure,Konami Digital Entertainment,0.0,0.0,0.48,0.0,0.48
4944,SNES,1991,Fighting,Human Entertainment,0.0,0.0,0.39,0.0,0.39
531,SNES,1992,Role-Playing,Enix Corporation,0.0,0.0,2.78,0.01,2.79
8617,SNES,1992,Sports,Banpresto,0.0,0.0,0.16,0.0,0.16
143,GEN,1992,Platform,Sega,4.47,1.2,0.16,0.19,6.03
9442,SNES,1992,Shooter,Konami Digital Entertainment,0.0,0.0,0.13,0.0,0.13
7185,SNES,1992,Platform,Hudson Soft,0.0,0.0,0.22,0.0,0.22
6088,SNES,1992,Strategy,Tecmo Koei,0.0,0.0,0.29,0.0,0.29
318,GB,1992,Action,Nintendo,2.21,0.96,0.54,0.13,3.83
12700,SNES,1992,Fighting,Konami Digital Entertainment,0.0,0.0,0.06,0.0,0.06
136,SNES,1992,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3
1608,GB,1992,Puzzle,Nintendo,0.56,0.22,0.43,0.03,1.24
7065,GB,1992,Puzzle,Nintendo,0.0,0.0,0.23,0.0,0.23
8529,SNES,1992,Adventure,ChunSoft,0.0,0.0,0.16,0.0,0.16
76,SNES,1992,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76
12062,SNES,1992,Role-Playing,Epoch,0.0,0.0,0.07,0.0,0.07
3544,SNES,1992,Puzzle,Hudson Soft,0.0,0.0,0.57,0.0,0.57
827,GEN,1992,Sports,Arena Entertainment,1.75,0.25,0.0,0.05,2.05
1657,SNES,1992,Platform,Capcom,0.66,0.17,0.35,0.03,1.21
6226,SNES,1992,Racing,Video System,0.0,0.0,0.28,0.0,0.28
285,SNES,1992,Fighting,Capcom,1.42,0.51,2.1,0.07,4.1
9561,GEN,1992,Shooter,Sega,0.0,0.0,0.13,0.0,0.13
1076,GB,1992,Puzzle,Nintendo,0.59,0.24,0.82,0.03,1.68
2633,PC,1992,Adventure,Virgin Interactive,0.01,0.77,0.0,0.0,0.78
564,GEN,1992,Fighting,Arena Entertainment,1.95,0.63,0.0,0.09,2.67
629,SNES,1992,Role-Playing,SquareSoft,0.0,0.0,2.43,0.02,2.45
1099,GEN,1992,Fighting,Sega,1.0,0.3,0.31,0.04,1.66
3481,SNES,1992,Role-Playing,Namco Bandai Games,0.0,0.0,0.58,0.0,0.58
2610,NES,1992,Platform,Capcom,0.39,0.07,0.32,0.01,0.79
4952,SNES,1992,Fighting,Takara,0.0,0.0,0.39,0.0,0.39
1827,NES,1992,Puzzle,Nintendo,0.41,0.06,0.63,0.02,1.12
13525,GG,1992,Platform,Sega,0.0,0.0,0.04,0.0,0.04
191,GB,1992,Platform,Nintendo,2.71,0.61,1.7,0.11,5.13
16073,PC,1992,Strategy,New World Computing,0.01,0.0,0.0,0.0,0.01
9796,GEN,1992,Adventure,Sega,0.0,0.0,0.12,0.0,0.12
2142,SNES,1992,Role-Playing,SquareSoft,0.0,0.0,0.97,0.0,0.97
765,PC,1992,Simulation,Maxis,1.2,0.84,0.0,0.1,2.14
4240,SNES,1992,Sports,Namco Bandai Games,0.0,0.0,0.46,0.0,0.46
6198,SNES,1992,Sports,Ocean,0.0,0.0,0.28,0.0,0.28
743,GB,1992,Misc,Nintendo,0.87,0.17,1.1,0.05,2.19
545,SNES,1992,Misc,Nintendo,1.43,0.54,0.71,0.07,2.75
12526,PC,1992,Strategy,Electronic Arts,0.0,0.05,0.0,0.01,0.06
14599,PC,1992,Shooter,id Software,0.02,0.0,0.0,0.0,0.03
50,GB,1992,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18
11985,NES,1992,Fighting,Konami Digital Entertainment,0.04,0.01,0.02,0.0,0.07
2592,SNES,1993,Sports,Nintendo,0.0,0.0,0.8,0.0,0.8
57,SNES,1993,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55
8424,SNES,1993,Sports,Hudson Soft,0.0,0.0,0.17,0.0,0.17
4041,SNES,1993,Puzzle,Nintendo,0.0,0.0,0.49,0.0,0.49
9929,SNES,1993,Sports,T&E Soft,0.0,0.0,0.12,0.0,0.12
12652,SNES,1993,Platform,Konami Digital Entertainment,0.0,0.0,0.06,0.0,0.06
3782,SNES,1993,Sports,Tecmo Koei,0.0,0.0,0.53,0.0,0.53
3780,SNES,1993,Sports,Hudson Soft,0.0,0.0,0.53,0.0,0.53
849,SNES,1993,Fighting,Nintendo,0.52,0.16,1.29,0.03,2.0
13311,GEN,1993,Role-Playing,Sega,0.0,0.0,0.05,0.0,0.05
3844,NES,1993,Platform,Capcom,0.28,0.07,0.16,0.01,0.52
1261,SCD,1993,Platform,Sega,1.0,0.36,0.09,0.05,1.5
2651,SNES,1993,Role-Playing,ChunSoft,0.0,0.0,0.78,0.0,0.78
8067,SNES,1993,Sports,Capcom,0.04,0.01,0.13,0.0,0.18
5666,SNES,1993,Role-Playing,Hudson Soft,0.0,0.0,0.32,0.0,0.32
7769,SNES,1993,Misc,Sammy Corporation,0.0,0.0,0.19,0.0,0.19
887,SNES,1993,Fighting,Acclaim Entertainment,1.48,0.39,0.0,0.06,1.93
1325,SNES,1993,Fighting,Namco Bandai Games,0.0,0.0,1.45,0.0,1.45
12289,SNES,1993,Misc,Imax,0.0,0.0,0.06,0.0,0.06
948,SNES,1993,Role-Playing,SquareSoft,0.25,0.07,1.49,0.02,1.83
2795,SNES,1993,Fighting,Namco Bandai Games,0.0,0.0,0.73,0.0,0.73
12231,GEN,1993,Action,Sega,0.0,0.0,0.07,0.0,0.07
10331,SNES,1993,Role-Playing,TOHO,0.0,0.0,0.11,0.0,0.11
13147,SNES,1993,Sports,Misawa,0.0,0.0,0.05,0.0,0.05
3591,SNES,1993,Platform,Laguna,0.09,0.02,0.45,0.0,0.56
3236,SNES,1993,Strategy,Tecmo Koei,0.3,0.0,0.32,0.0,0.62
5291,SNES,1993,Racing,Nintendo,0.0,0.0,0.35,0.0,0.35
10259,SNES,1993,Sports,Victor Interactive,0.0,0.0,0.11,0.0,0.11
7301,SNES,1993,Action,Namco Bandai Games,0.0,0.0,0.22,0.0,0.22
6306,SNES,1993,Fighting,Namco Bandai Games,0.0,0.0,0.27,0.0,0.27
2956,SNES,1993,Sports,Namco Bandai Games,0.0,0.0,0.69,0.0,0.69
2111,NES,1993,Puzzle,Nintendo,0.62,0.13,0.21,0.02,0.98
1054,SNES,1993,Puzzle,Banpresto,0.0,0.0,1.69,0.01,1.7
1674,SNES,1993,Fighting,Namco Bandai Games,0.0,0.0,1.2,0.0,1.2
11951,GEN,1993,Adventure,Sega,0.0,0.0,0.07,0.0,0.07
7910,GEN,1993,Strategy,Sega,0.0,0.0,0.19,0.0,0.19
5204,NES,1993,Action,Ocean,0.25,0.1,0.0,0.01,0.36
16105,SNES,1993,Racing,Interplay,0.0,0.0,0.01,0.0,0.01
4242,SNES,1993,Platform,Namco Bandai Games,0.0,0.0,0.46,0.0,0.46
7929,SNES,1993,Simulation,Hect,0.0,0.0,0.19,0.0,0.19
8908,GEN,1993,Fighting,Capcom,0.0,0.0,0.15,0.0,0.15
